,draws,lost,wins
Montserrat,4.0,27.0,9.0
Morocco,158.0,130.0,247.0
Mozambique,76.0,129.0,99.0
Myanmar,2.0,9.0,5.0
Namibia,61.0,107.0,61.0
Nepal,29.0,111.0,38.0
Netherlands,177.0,210.0,399.0
New Caledonia,27.0,80.0,120.0
New Zealand,65.0,151.0,146.0
Nicaragua,13.0,114.0,28.0
Niger,52.0,106.0,47.0
Nigeria,166.0,143.0,267.0
Niue,0.0,2.0,0.0
North Korea,91.0,105.0,144.0
North Macedonia,61.0,108.0,70.0
North Vietnam,3.0,14.0,7.0
Northern Cyprus,7.0,7.0,20.0
Northern Ireland,148.0,331.0,167.0
Northern Mariana Islands,2.0,20.0,2.0
Norway,183.0,328.0,295.0
Occitania,3.0,7.0,8.0
Oman,112.0,171.0,167.0
Orkney,0.0,16.0,5.0
Padania,8.0,6.0,29.0
Pakistan,34.0,118.0,38.0
Palau,0.0,1.0,1.0
Palestine,52.0,84.0,50.0
Panama,106.0,190.0,132.0
Panjab,3.0,4.0,5.0
Papua New Guinea,21.0,59.0,36.0
Paraguay,188.0,273.0,255.0
Parishes of Jersey,0.0,1.0,2.0
Peru,152.0,270.0,201.0
Philippines,39.0,129.0,64.0
Poland,206.0,259.0,352.0
Portugal,144.0,173.0,298.0
Provence,1.0,12.0,4.0
Puerto Rico,20.0,75.0,22.0
Qatar,126.0,186.0,221.0
Raetia,1.0,6.0,1.0
Republic of Ireland,162.0,186.0,220.0
Republic of St. Pauli,1.0,2.0,1.0
Rhodes,2.0,5.0,11.0
Romani people,0.0,2.0,1.0
Romania,180.0,210.0,306.0
Russia,182.0,157.0,357.0
Rwanda,62.0,100.0,82.0
Réunion,13.0,39.0,29.0
Saare County,5.0,25.0,5.0
Saarland,2.0,6.0,1.0
Saint Helena,0.0,4.0,0.0
Saint Kitts and Nevis,34.0,74.0,71.0
Saint Lucia,30.0,103.0,66.0
Saint Martin,3.0,27.0,14.0
Saint Pierre and Miquelon,0.0,7.0,0.0
Saint Vincent and the Grenadines,39.0,43.0,64.0
Samoa,4.0,31.0,16.0
San Marino,4.0,160.0,1.0
Sark,0.0,4.0,0.0
Saudi Arabia,141.0,184.0,298.0
Scotland,167.0,245.0,371.0
Senegal,142.0,154.0,233.0
Serbia,70.0,83.0,124.0
Seychelles,18.0,82.0,13.0
Shetland,7.0,26.0,18.0
Sierra Leone,62.0,113.0,78.0
Silesia,2.0,3.0,3.0
Singapore,108.0,279.0,169.0
Sint Maarten,5.0,19.0,10.0
Slovakia,69.0,105.0,119.0
Slovenia,61.0,102.0,86.0
Solomon Islands,30.0,68.0,72.0
Somalia,12.0,85.0,10.0
Somaliland,0.0,3.0,2.0
South Africa,114.0,111.0,175.0
South Korea,222.0,186.0,454.0
South Ossetia,3.0,7.0,4.0
South Sudan,8.0,27.0,8.0
Spain,159.0,130.0,407.0
Sri Lanka,35.0,126.0,40.0
Sudan,99.0,165.0,133.0
Suriname,81.0,114.0,153.0
Surrey,0.0,0.0,1.0
Sweden,225.0,296.0,499.0
Switzerland,174.0,345.0,280.0
Syria,101.0,153.0,150.0
Székely Land,3.0,14.0,6.0
Sápmi,2.0,13.0,11.0
São Tomé and Príncipe,5.0,33.0,8.0
Tahiti,28.0,73.0,109.0
Tajikistan,26.0,61.0,57.0
Tamil Eelam,0.0,11.0,6.0
Tanzania,154.0,230.0,147.0
Thailand,148.0,254.0,237.0
Tibet,1.0,12.0,0.0
Timor-Leste,1.0,7.0,1.0
Togo,100.0,167.0,119.0
Tonga,6.0,36.0,14.0
Trinidad and Tobago,138.0,237.0,290.0
Tunisia,168.0,170.0,243.0
Turkey,138.0,211.0,220.0
Turkmenistan,23.0,63.0,52.0
Turks and Caicos Islands,2.0,19.0,6.0
Tuvalu,4.0,25.0,5.0
Two Sicilies,0.0,3.0,1.0
U.S. Virgin Islands,6.0,41.0,7.0
Uganda,168.0,190.0,266.0
Ukraine,75.0,70.0,124.0
United Arab Emirates,129.0,184.0,208.0
United Koreans in Japan,6.0,3.0,2.0
United States,144.0,246.0,294.0
Uruguay,216.0,286.0,382.0
Uzbekistan,58.0,97.0,120.0
Vanuatu,22.0,96.0,56.0
Vatican City,2.0,4.0,0.0
Venezuela,86.0,203.0,92.0
Vietnam,47.0,73.0,82.0
Vietnam Republic,27.0,60.0,66.0
Wales,141.0,307.0,210.0
Wallis Islands and Futuna,0.0,19.0,5.0
Western Armenia,4.0,7.0,5.0
Western Australia,3.0,17.0,9.0
Western Isles,3.0,14.0,11.0
Western Sahara,0.0,3.0,2.0
Yemen,43.0,139.0,44.0
Yemen DPR,3.0,16.0,5.0
Ynys Môn,11.0,18.0,32.0
Yorkshire,1.0,1.0,5.0
Yugoslavia,98.0,159.0,223.0
Zambia,190.0,201.0,327.0
Zanzibar,41.0,123.0,41.0
Zimbabwe,125.0,142.0,189.0
Åland Islands,6.0,19.0,21.0
