Tanzania,1086,963
Thailand,1761,1140
Tibet,6,39
Timor-Leste,15,33
Togo,651,429
Tonga,99,198
Trinidad and Tobago,1914,894
Tunisia,1548,747
Turkey,1227,948
Turkmenistan,336,174
Turks and Caicos Islands,30,93
Tuvalu,48,105
U.S. Virgin Islands,33,264
Uganda,1695,783
Ukraine,624,297
United Arab Emirates,1485,960
United Koreans in Japan,27,21
United States,2106,1296
Uruguay,1842,963
Uzbekistan,735,255
Vanuatu,354,342
Vatican City,0,6
Venezuela,618,762
Vietnam,693,432
Vietnam Republic,285,177
Wales,1410,1344
Wallis Islands and Futuna,24,18
Western Armenia,21,30
Western Isles,81,84
Western Sahara,30,21
Yemen,378,447
Yemen DPR,9,12
Ynys Môn,183,84
Yorkshire,57,21
Yugoslavia,1317,708
Zambia,1689,750
Zanzibar,189,300
Zimbabwe,906,519
Åland Islands,141,123
